# Residuals  
# Time       	Ux           	p_rgh        	C            	T            
0.00120048   	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
0.0021797    	1.998250e-01	1.540490e-03	5.854300e-05	1.038180e-01
0.0030714    	8.408710e-02	5.786070e-04	5.365670e-05	6.631220e-02
0.00390916   	5.424760e-02	4.100070e-04	5.066920e-05	4.890970e-02
0.00470859   	3.992360e-02	2.966950e-04	4.829930e-05	3.880860e-02
0.00547894   	3.110110e-02	2.235980e-04	4.641700e-05	3.220750e-02
0.00622558   	2.512950e-02	1.791340e-04	4.492750e-05	2.753030e-02
0.00695255   	2.097510e-02	1.512650e-04	4.371910e-05	2.405030e-02
0.00766288   	1.800080e-02	1.319920e-04	4.269070e-05	2.136070e-02
0.00835877   	1.575740e-02	1.172760e-04	4.180020e-05	1.921630e-02
0.00904219   	1.399250e-02	1.045690e-04	4.103510e-05	1.747260e-02
0.00971448   	1.257540e-02	9.482570e-05	4.035110e-05	1.602100e-02
0.0103773    	1.141910e-02	8.513450e-05	3.977410e-05	1.480650e-02
0.0110314    	1.043030e-02	7.960600e-05	3.965310e-05	1.376070e-02
0.0116778    	9.593330e-03	7.299960e-05	3.916090e-05	1.286030e-02
0.0123175    	8.882530e-03	6.719900e-05	3.877600e-05	1.207850e-02
0.0129506    	8.254700e-03	6.476350e-05	3.832690e-05	1.138070e-02
0.0135781    	7.713500e-03	5.944960e-05	3.798320e-05	1.076750e-02
0.0142005    	7.232900e-03	5.607480e-05	3.762290e-05	1.021950e-02
0.0148177    	6.810000e-03	5.469200e-05	3.729110e-05	9.721300e-03
0.0154308    	6.437730e-03	5.006160e-05	3.703410e-05	9.277870e-03
0.0160397    	6.098580e-03	4.882960e-05	3.673810e-05	8.870850e-03
0.0166444    	5.794160e-03	4.776690e-05	3.648790e-05	8.495970e-03
0.0172455    	5.524580e-03	4.553110e-05	3.626390e-05	8.154520e-03
0.0178433    	5.283090e-03	4.323780e-05	3.604320e-05	7.842590e-03
0.0184378    	5.059860e-03	4.243510e-05	3.582650e-05	7.552330e-03
0.0190295    	4.856200e-03	4.007040e-05	3.565360e-05	7.285910e-03
0.0196183    	4.669010e-03	3.940050e-05	3.546260e-05	7.036640e-03
0.0202043    	4.496850e-03	3.875500e-05	3.529250e-05	6.802920e-03
0.0207879    	4.340590e-03	3.680620e-05	3.514520e-05	6.587240e-03
0.021369     	4.194560e-03	3.627870e-05	3.498060e-05	6.384100e-03
0.0219481    	4.063430e-03	3.438400e-05	3.485650e-05	6.196070e-03
0.0225248    	3.937930e-03	3.539620e-05	3.469430e-05	6.014730e-03
0.0230994    	3.825740e-03	3.358530e-05	3.459160e-05	5.846520e-03
0.0236724    	3.721040e-03	3.178290e-05	3.447030e-05	5.690300e-03
0.0242433    	3.618880e-03	3.281430e-05	3.433050e-05	5.538600e-03
0.0248126    	3.527310e-03	3.109660e-05	3.425150e-05	5.397480e-03
0.0253799    	3.436990e-03	3.218750e-05	3.411270e-05	5.259980e-03
0.0259456    	3.355410e-03	3.045510e-05	3.403420e-05	5.131880e-03
0.0265099    	3.279130e-03	2.880740e-05	3.393670e-05	5.012450e-03
0.0270726    	3.203270e-03	2.991860e-05	3.381740e-05	4.895400e-03
0.0276337    	3.132950e-03	2.964860e-05	3.374320e-05	4.783410e-03
0.0281935    	3.068150e-03	2.806680e-05	3.366640e-05	4.678850e-03
0.028752     	3.005210e-03	2.783700e-05	3.356840e-05	4.578550e-03
0.0293092    	2.944920e-03	2.759530e-05	3.349250e-05	4.482260e-03
0.0298652    	2.887590e-03	2.737880e-05	3.341700e-05	4.389760e-03
0.0304199    	2.832790e-03	2.716970e-05	3.334180e-05	4.300810e-03
0.0309733    	2.780210e-03	2.698320e-05	3.326690e-05	4.215220e-03
0.0315257    	2.731280e-03	2.548180e-05	3.321120e-05	4.135160e-03
0.032077     	2.681540e-03	2.662820e-05	3.348290e-05	4.055670e-03
0.0326272    	2.636710e-03	2.510750e-05	3.308140e-05	3.981260e-03
0.0331762    	2.590620e-03	2.635600e-05	3.335210e-05	3.907220e-03
0.0337243    	2.550230e-03	2.489800e-05	3.295260e-05	3.837900e-03
0.0342715    	2.508800e-03	2.463160e-05	3.324170e-05	3.770910e-03
0.0348177    	2.468870e-03	2.447930e-05	3.318430e-05	3.706110e-03
